"Number","Title","Artist"
"131","Beedi","Vishal Bharadwaj"
"132","Jiyein Kyun","Papon"
"133","Suniyan Suniyan","Juss"
"134","Peaches","Diljit Dosanjh"
"135","Mere Sohneya","Sachet Tandon"
"136","Sheila Ki Jawani","Sunidhi Chauhan"
"137","Baby Doll (From ""Ragini Mms 2"")","Meet Bros Anjjan"
"138","Bang Bang","Benny Dayal"
"139","Bakhuda Tumhi Ho (From ""Kismat Konnection"")","Atif Aslam"
"140","Kun Faya Kun","A. R. Rahman"
"141","Chahun Main Ya Naa","Palak Muchhal"
"142","Pehle Bhi Main","Vishal Mishra"
"143","Tujhe Bhula Diya","Mohit Chauhan"
"144","Ajj Din Chadheya","Pritam"
"145","Pehli Dafa","Atif Aslam"
"146","Afsos","Anuv Jain"
"147","Aaoge Tum Kabhi","The Local Train"
"148","Aa Toh Sahi","Meet Bros"
"149","Adhoore","Vishal Dadlani"
"150","Daftar Ki Girl","Yo Yo Honey Singh"
"151","Twist","Pritam"
"152","Baarish Lete Aana","Darshan Raval"
"153","Bolna (From ""Kapoor & Sons (Since 1921)"")","Arijit Singh"
"154","Uff Teri Adaa","Shankar Mahadevan"
"155","Let's Nacho","Nucleya"
"156","Tum Jo Aaye","Rahat Fateh Ali Khan"
"157","Har Kisi Ko","Arijit Singh"
"158","Abhi Abhi","KK"
"159","Nadaan Parinde","A. R. Rahman"
"160","Tu Hai Ki Nahi","Ankit Tiwari"
"161","Aas Paas Khuda","Rahat Fateh Ali Khan"
"162","Kehne Lagaa","Rushil Aswal"
"163","Tu Meri","Vishal Dadlani"
"164","Pee Loon","Mohit Chauhan"
"165","Kya Mujhe Pyar Hai","KK"
"166","Bin Tere","Sunidhi Chauhan"
"167","Ishq Wala Love (From ""Student of the Year"")","Salim Merchant"
"168","Zindagi Do Pal Ki","KK"
"169","Tu Hi Toh Hai","Pritam"
"170","Hum Tum","Jatin-Lalit"
"171","Dhat Teri Ki","Aditi Singh Sharma"
"172","Allah Maaf Kare","Sonu Nigam"
"173","Allah Ke Bande","Kailash Kher"
"174","Anjaana Anjaani","Vishal Dadlani"
"175","Aadat Se Majboor","Salim-Sulaiman"
"176","Nagin Dance","Anmol Malik"
"177","Tinku Jiya (From ""Yamla Pagla Deewana"")","Mamta Sharma"
"178","Nachange Saari Raat (feat. Neeraj Shridhar, Tulsi Kumar)","Meet Bros"
"179","Brown Rang","Yo Yo Honey Singh"
"180","Kukkad","Vishal-Sheykhar"
"181","Kabhi Jo Baadal Barse (From ""Jackpot"")","Arijit Singh"
"182","Sau Tarah Ke (From ""Dishoom"")","Jonita Gandhi"
"183","Anarkali Disco Chali","Mamta Sharma"
"184","Tere Liye (From ""Prince"") [Jhankar]","Atif Aslam"
"185","Besharmi Ki Height","Benny Dayal"
"186","Bewafa","Imran Khan"
"187","Sajdaa","Shankar Mahadevan"
"188","Khuda Jaane (From ""Bachna Ae Haseeno"")","Vishal-Sheykhar"
"189","Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")","Palak Muchhal"
